Row ID,Order ID,Data da Venda,Prioridade,Quantidade,Valor da Venda,Desconto,Forma de Envio,Lucro,Preço Unitário,Custo de Envio,Nome do Cliente,Cidade,CEP,Estado,Região,País,Segmento do Cliente,Categoria do Produto,Sub-Categoria do Produto,Nome do Produto,Embalagem,Margem,Data de Envio
4106,29220,12/29/2012,Média,36,"12690,33","0,08",Aéreo Rápido,"5045,30","367,99","19,99",Logan Haushalter,São Paulo,10801,São Paulo,Sudeste,Brasil,Corporativo,Material de Escritório,Capas e Acessórios,Ibico Ibimaster 300 Manual Binding System,Small Box,"0,4",12/29/2012
4834,34400,12/24/2012,Baixa,17,"988,6435","0,04",Aéreo Normal,"89,89","65,99","4,2",Joy Daniels,Loanda,32780,Paraná,Sul,Brasil,Corporativo,Tecnologia,Telefones e Comunicação,5170,Small Box,"0,59",12/29/2012
6060,42945,12/29/2012,Não Especificada,45,"178,7","0,07",Aéreo Normal,"-164,92","3,95","5,13",Quincy Jones,São Luís,88201,Maranhão,Nordeste,Brasil,Corporativo,Material de Escritório,Eletrodomésticos,"Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk",Small Box,"0,59",12/29/2012
1681,12129,12/25/2012,Média,36,"4852,05",0,Transporte Rodoviário,"-1197,58","122,99","70,2",Giulietta Weimer,Anápolis,48104,Goiás,Centro-Oeste,Brasil,Corporativo,Mobiliário,Cadeiras,"Global High-Back Leather Tilter, Burgundy",Jumbo Drum,"0,74",12/28/2012
2327,16772,12/26/2012,Alta,38,"95,71","0,04",Aéreo Normal,"32,81","2,61","0,5",Alex Russell,Teresina,97035,Piauí,Nordeste,Brasil,Escritório em Casa,Material de Escritório,Etiquetas,Avery 479,Small Box,"0,39",12/28/2012
2681,19394,12/25/2012,Média,5,"539,206","0,05",Aéreo Normal,"-452,39","125,99","8,8",Darren Powers,Formosa,76201,Goiás,Centro-Oeste,Brasil,Corporativo,Tecnologia,Telefones e Comunicação,StarTAC 6500,Small Box,"0,59",12/28/2012
3742,26726,12/27/2012,Alta,41,"833,51","0,05",Aéreo Normal,"364,99","20,98","1,49",Roland Black,Anápolis,55044,Goiás,Centro-Oeste,Brasil,Pequenas Empresas,Material de Escritório,Capas e Acessórios,Avery Legal 4-Ring Binder,Small Box,"0,35",12/28/2012
3984,28453,12/28/2012,Crítica,26,"560,03","0,04",Aéreo Normal,"-139,87","21,66","13,99",Lycoris Saunders,Porto Alegre,28540,Rio Grande do Sul,Sul,Brasil,Escritório em Casa,Material de Escritório,Eletrodomésticos,Holmes 99% HEPA Air Purifier,Medium Box,"0,52",12/28/2012
4159,29505,12/27/2012,Média,22,"45,21","0,02",Aéreo Rápido,"4,61","1,76","0,7",Brad Thomas,Recife,95032,Pernambuco,Nordeste,Brasil,Escritório em Casa,Material de Escritório,Canetas e materiais de arte,Newell 326,Wrap Bag,"0,56",12/28/2012
4833,34400,12/24/2012,Baixa,25,"92,53","0,01",Aéreo Normal,"-71,52","3,57","4,17",Joy Daniels,Loanda,32780,Paraná,Sul,Brasil,Corporativo,Material de Escritório,Canetas e materiais de arte,Barrel Sharpener,Small Pack,"0,59",12/28/2012
468,3202,12/23/2012,Baixa,10,"554,21","0,05",Aéreo Normal,"-105,37","53,98","5,5",Richard Eichhorn,Florianópolis,70072,Santa Catarina,Sul,Brasil,Consumidor,Tecnologia,Periféricos,Nu-Form 106-Key Ergonomic Keyboard w/ Touchpad,Small Box,"0,62",12/27/2012
3740,26726,12/27/2012,Alta,37,"173,11","0,02",Aéreo Normal,"-121,58","4,37","5,15",Roland Black,Anápolis,55044,Goiás,Centro-Oeste,Brasil,Pequenas Empresas,Material de Escritório,Eletrodomésticos,"Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags",Small Box,"0,59",12/27/2012
4279,30469,12/25/2012,Não Especificada,46,"304,26","0,1",Aéreo Normal,"28,93","7,08","2,35",Cindy Chapman,Maceió,85023,Alagoas,Nordeste,Brasil,Corporativo,Material de Escritório,Canetas e materiais de arte,SANFORD Major Accent™ Highlighters,Wrap Bag,"0,47",12/27/2012
1451,10466,12/25/2012,Alta,27,"114,86","0,07",Aéreo Normal,"16,21","4,28","0,94",Evan Henry,Recife,91941,Pernambuco,Nordeste,Brasil,Corporativo,Material de Escritório,Canetas e materiais de arte,Newell 336,Wrap Bag,"0,56",12/26/2012
2215,16005,12/24/2012,Não Especificada,7,"51,03","0,09",Aéreo Normal,"-21,38","6,81","5,48",Maurice Satty,Curitiba,33801,Paraná,Sul,Brasil,Corporativo,Material de Escritório,Capas e Acessórios,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Small Box,"0,37",12/26/2012
2680,19394,12/25/2012,Média,16,"279,327","0,05",Aéreo Normal,"75,21","20,99","0,99",Darren Powers,Formosa,76201,Goiás,Centro-Oeste,Brasil,Corporativo,Tecnologia,Telefones e Comunicação,Accessory21,Wrap Bag,"0,37",12/26/2012
6346,44992,12/24/2012,Crítica,32,"1673,53",0,Aéreo Normal,"524,73","51,98","10,17",Anthony Witt,Goianésia,77536,Goiás,Centro-Oeste,Brasil,Corporativo,Tecnologia,Máquinas de Escritório,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,Medium Box,"0,37",12/26/2012
6347,44992,12/24/2012,Crítica,32,"7110,24","0,06",Transporte Rodoviário,"-536,17","218,75","69,64",Anthony Witt,Goianésia,77536,Goiás,Centro-Oeste,Brasil,Corporativo,Mobiliário,Mesas,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Jumbo Box,"0,72",12/26/2012
6836,48672,12/26/2012,Alta,43,"255,7",0,Aéreo Normal,"-35,74","5,81","3,37",Nora Paige,Recife,93422,Pernambuco,Nordeste,Brasil,Pequenas Empresas,Material de Escritório,Elásticos,"Advantus Push Pins, Aluminum Head",Wrap Bag,"0,54",12/26/2012
2927,21220,12/22/2012,Não Especificada,4,"476,31","0,07",Transporte Rodoviário,"-258,08","120,97","26,3",Rick Hansen,Florianópolis,30135,Santa Catarina,Sul,Brasil,Escritório em Casa,Tecnologia,Máquinas de Escritório,Canon S750 Color Inkjet Printer,Jumbo Drum,"0,38",12/25/2012
1051,7751,12/23/2012,Não Especificada,45,"4547,9","0,01",Transporte Rodoviário,"-768,14","95,98","58,2",Ann Blume,Vitória,04240,Espírito Santo,Sudeste,Brasil,Corporativo,Mobiliário,Cadeiras,Global Deluxe Office Fabric Chairs,Jumbo Drum,"0,58",12/24/2012
3308,23619,12/21/2012,Média,48,"2611,8035","0,06",Aéreo Normal,"644,81","65,99","5,92",Nora Paige,Belo Horizonte,02358,Minas Gerais,Sudeste,Brasil,Pequenas Empresas,Tecnologia,Telefones e Comunicação,252,Small Box,"0,55",12/24/2012
1201,8803,12/20/2012,Não Especificada,17,"514,22","0,02",Aéreo Normal,"187,37","30,56","2,99",William Brown,Florianópolis,30144,Santa Catarina,Sul,Brasil,Corporativo,Material de Escritório,Capas e Acessórios,Surelock™ Post Binders,Small Box,"0,35",12/23/2012
3307,23619,12/21/2012,Média,45,"285,91","0,02",Aéreo Normal,"-104,99","6,24","5,22",Nora Paige,Belo Horizonte,02492,Minas Gerais,Sudeste,Brasil,Pequenas Empresas,Mobiliário,Mobiliário de Escritório,Eldon Expressions Mahogany Wood Desk Collection,Small Box,"0,6",12/23/2012
7262,51813,12/21/2012,Não Especificada,13,"1390,17","0,07",Aéreo Normal,"-469,84","110,98",35,Lena Creighton,Novo Gama,79072,Goiás,Centro-Oeste,Brasil,Corporativo,Material de Escritório,Armazenamento e Organização,"Carina Mini System Audio Rack, Model AR050B",Large Box,"0,82",12/23/2012
854,6117,12/21/2012,Crítica,7,"157,03","0,07",Aéreo Normal,"13,21","22,23","5,08",Annie Thurman,Natal,84321,Rio Grande do Norte,Nordeste,Brasil,Escritório em Casa,Mobiliário,Mobiliário de Escritório,"Executive Impressions 14""",Small Pack,"0,41",12/22/2012
1431,10341,12/21/2012,Alta,17,"2312,96","0,09",Transporte Rodoviário,"43,03","145,45","17,85",Sung Pak,Aracajú,83686,Sergipe,Nordeste,Brasil,Pequenas Empresas,Tecnologia,Máquinas de Escritório,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,"0,56",12/22/2012
3306,23619,12/21/2012,Média,7,"1043,12","0,06",Aéreo Normal,"-52,50","150,98","13,99",Nora Paige,Belo Horizonte,06770,Minas Gerais,Sudeste,Brasil,Pequenas Empresas,Tecnologia,Máquinas de Escritório,Canon MP41DH Printing Calculator,Medium Box,"0,38",12/22/2012
6082,43109,12/21/2012,Crítica,19,"281,84","0,06",Aéreo Normal,"-21,85","15,01","8,4",Dorothy Wardle,Goiânia,60193,Goiás,Centro-Oeste,Brasil,Corporativo,Material de Escritório,Capas e Acessórios,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Small Box,"0,39",12/22/2012
6083,43109,12/21/2012,Crítica,25,"509,52","0,05",Aéreo Normal,"-145,78","20,97","6,5",Dorothy Wardle,Goiânia,60193,Goiás,Centro-Oeste,Brasil,Corporativo,Tecnologia,Periféricos,Microsoft Internet Keyboard,Small Box,"0,78",12/22/2012
6084,43109,12/21/2012,Crítica,10,"97,02","0,06",Aéreo Normal,"-3,96","10,01","1,99",Dorothy Wardle,Goiânia,60193,Goiás,Centro-Oeste,Brasil,Corporativo,Tecnologia,Periféricos,TDK 4.7GB DVD-R,Small Pack,"0,41",12/22/2012
7647,54791,12/20/2012,Alta,42,"4273,35","0,07",Aéreo Normal,"-892,03","101,41",35,Lisa DeCherney,Erval Seco,24501,Rio Grande do Sul,Sul,Brasil,Corporativo,Material de Escritório,Armazenamento e Organização,Tennsco Regal Shelving Units,Large Box,"0,82",12/22/2012
7648,54791,12/20/2012,Alta,45,"4165,04",0,Transporte Rodoviário,"135,68","90,98",30,Lisa DeCherney,Fátima do Sul,69101,Mato Grosso do Sul,Centro-Oeste,Brasil,Corporativo,Mobiliário,Cadeiras,Office Star - Task Chair with Contemporary Loop Arms,Jumbo Drum,"0,61",12/22/2012
1200,8803,12/20/2012,Não Especificada,6,"1184,11","0,07",Aéreo Normal,"-145,07","193,17","19,99",William Brown,Florianópolis,31313,Santa Catarina,Sul,Brasil,Corporativo,Material de Escritório,Armazenamento e Organização,Fellowes Staxonsteel® Drawer Files,Small Box,"0,71",12/21/2012
7646,54791,12/20/2012,Alta,27,"1087,58","0,01",Aéreo Normal,"514,45","39,89","3,04",Lisa DeCherney,Erval Seco,24501,Rio Grande do Sul,Sul,Brasil,Corporativo,Mobiliário,Mobiliário de Escritório,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,"0,53",12/21/2012
1696,12256,12/18/2012,Média,44,"117,97","0,1",Aéreo Normal,"44,59","2,88","0,5",Joni Blumstein,Douradina,73703,Mato Grosso do Sul,Centro-Oeste,Brasil,Escritório em Casa,Material de Escritório,Etiquetas,Avery 49,Small Box,"0,36",12/20/2012
2736,19745,12/18/2012,Alta,2,"63,96",0,Aéreo Normal,"-119,36","29,89","1,99",Harold Pawlan,Natal,84010,Rio Grande do Norte,Nordeste,Brasil,Pequenas Empresas,Tecnologia,Periféricos,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Small Pack,"0,5",12/20/2012
3731,26661,12/19/2012,Média,31,"1772,2245","0,02",Aéreo Normal,"390,86","65,99","4,99",Ruben Ausman,Formosa,75460,Goiás,Centro-Oeste,Brasil,Corporativo,Tecnologia,Telefones e Comunicação,T193,Small Box,"0,57",12/20/2012
3954,28224,12/19/2012,Crítica,25,"163,41","0,07",Aéreo Normal,"-91,28","6,23","6,97",Kean Thornton,Recife,95969,Pernambuco,Nordeste,Brasil,Corporativo,Material de Escritório,Capas e Acessórios,Avery Hole Reinforcements,Small Box,"0,36",12/20/2012
2734,19745,12/18/2012,Alta,25,"1071,77","0,09",Aéreo Normal,"262,07","45,98","4,8",Harold Pawlan,Natal,84003,Rio Grande do Norte,Nordeste,Brasil,Pequenas Empresas,Mobiliário,Mobiliário de Escritório,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Wrap Bag,"0,68",12/19/2012
2735,19745,12/18/2012,Alta,29,"8635,61","0,03",Aéreo Normal,"2733,04","300,97","7,18",Harold Pawlan,Natal,84010,Rio Grande do Norte,Nordeste,Brasil,Pequenas Empresas,Tecnologia,Periféricos,Gyration Ultra Professional Cordless Optical Suite,Small Box,"0,48",12/19/2012
2737,19745,12/18/2012,Alta,50,833,0,Aéreo Normal,"436,53","15,57","1,39",Harold Pawlan,Natal,84010,Rio Grande do Norte,Nordeste,Brasil,Pequenas Empresas,Material de Escritório,Envelopes,Park Ridge™ Embossed Executive Business Envelopes,Small Box,"0,38",12/19/2012
5565,39399,12/17/2012,Média,28,"303,97","0,1",Aéreo Normal,"23,30","10,98","5,14",Sanjit Engle,Maringá,33012,Paraná,Sul,Brasil,Escritório em Casa,Material de Escritório,Capas e Acessórios,GBC Imprintable Covers,Small Box,"0,36",12/19/2012
68,388,12/15/2012,Não Especificada,46,"517,93","0,06",Aéreo Normal,"-94,73","11,7","6,96",Jennifer Halladay,Douradina,74006,Mato Grosso do Sul,Centro-Oeste,Brasil,Escritório em Casa,Material de Escritório,Eletrodomésticos,Harmony HEPA Quiet Air Purifiers,Medium Box,"0,5",12/18/2012
2946,21344,12/9/2012,Baixa,39,"110,79","0,05",Aéreo Normal,"42,68","2,89","0,5",Bobby Trafton,São Paulo,07047,São Paulo,Sudeste,Brasil,Corporativo,Material de Escritório,Etiquetas,Avery 498,Small Box,"0,38",12/18/2012
4713,33570,12/16/2012,Não Especificada,46,"265,88","0,05",Aéreo Normal,"-90,90","5,74","5,01",Ken Heidel,Anápolis,55066,Goiás,Centro-Oeste,Brasil,Corporativo,Material de Escritório,Capas e Acessórios,Binder Posts,Small Box,"0,39",12/18/2012
4714,33570,12/16/2012,Não Especificada,1,"1500,82","0,01",Transporte Rodoviário,"-3381,99","1500,97","29,7",Ken Heidel,Anápolis,55066,Goiás,Centro-Oeste,Brasil,Corporativo,Tecnologia,Máquinas de Escritório,Epson DFX5000+ Dot Matrix Printer,Jumbo Drum,"0,57",12/18/2012
4854,34532,12/11/2012,Baixa,41,"1234,36","0,04",Aéreo Rápido,"-84,77","30,98","19,51",Carol Darley,João Pessoa,81001,Paraíba,Nordeste,Brasil,Pequenas Empresas,Material de Escritório,Envelopes,Staples Colored Interoffice Envelopes,Small Box,"0,36",12/18/2012
2349,16935,12/15/2012,Não Especificada,43,"117,68","0,09",Aéreo Rápido,"12,47","2,88","0,7",Michael Grace,Porto Alegre,29301,Rio Grande do Sul,Sul,Brasil,Corporativo,Material de Escritório,Canetas e materiais de arte,Newell 340,Wrap Bag,"0,56",12/17/2012
2609,18851,12/16/2012,Crítica,32,"204,21","0,04",Aéreo Rápido,"-204,81","5,98","10,39",Thea Hudgings,Curitiba,32216,Paraná,Sul,Brasil,Consumidor,Material de Escritório,Papel,Xerox 1895,Small Box,"0,4",12/17/2012
5465,38848,12/16/2012,Alta,6,"259,52","0,06",Aéreo Normal,"45,20","43,41","2,99",Nora Price,Porto Alegre,23434,Rio Grande do Sul,Sul,Brasil,Escritório em Casa,Material de Escritório,Capas e Acessórios,Satellite Sectional Post Binders,Small Box,"0,39",12/17/2012
6787,48353,12/15/2012,Não Especificada,18,"71,22","0,04",Aéreo Normal,"20,43","3,85","0,7",Jeremy Pistek,Recife,90503,Pernambuco,Nordeste,Brasil,Corporativo,Material de Escritório,Canetas e materiais de arte,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Wrap Bag,"0,44",12/17/2012
8247,58949,12/16/2012,Crítica,50,"1558,9425","0,02",Aéreo Normal,"548,44","35,99","1,1",Tony Sayre,Feira de Santana,98444,Bahia,Nordeste,Brasil,Pequenas Empresas,Tecnologia,Telefones e Comunicação,Accessory35,Small Box,"0,55",12/17/2012
1014,7427,12/15/2012,Não Especificada,9,"182,26","0,01",Aéreo Normal,"60,61","18,94","1,49",Ricardo Emerson,Anápolis,48146,Goiás,Centro-Oeste,Brasil,Corporativo,Material de Escritório,Capas e Acessórios,Flexible Leather- Look Classic Collection Ring Binder,Small Box,"0,35",12/16/2012
2348,16935,12/15/2012,Não Especificada,3,"14,74","0,06",Aéreo Normal,"-2,72","4,48","1,22",Michael Grace,Porto Alegre,29301,Rio Grande do Sul,Sul,Brasil,Corporativo,Material de Escritório,Papel,Spiral Phone Message Books with Labels by Adams,Wrap Bag,"0,36",12/16/2012
2947,21344,12/9/2012,Baixa,48,"2011,46","0,01",Aéreo Normal,"171,07","41,32","8,66",Bobby Trafton,Belo Horizonte,02370,Minas Gerais,Sudeste,Brasil,Corporativo,Mobiliário,Mobiliário de Escritório,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,"0,76",12/16/2012
4512,32102,12/14/2012,Média,2,"19,81","0,02",Aéreo Normal,"-10,39","6,48","6,22",Vivek Sundaresam,Vitória,21215,Espírito Santo,Sudeste,Brasil,Escritório em Casa,Material de Escritório,Papel,Xerox 1894,Small Box,"0,37",12/16/2012
4715,33570,12/16/2012,Não Especificada,19,"3093,864","0,07",Aéreo Normal,"286,40","205,99","5,26",Ken Heidel,Anápolis,55066,Goiás,Centro-Oeste,Brasil,Corporativo,Tecnologia,Telefones e Comunicação,i470,Small Box,"0,56",12/16/2012
683,4771,12/13/2012,Crítica,4,"135,928","0,04",Transporte Rodoviário,"-126,47","31,76","45,51",Christy Brittain,Recife,90405,Pernambuco,Nordeste,Brasil,Consumidor,Mobiliário,Mesas,Hon iLevel™ Computer Training Table,Jumbo Box,"0,65",12/15/2012
1013,7427,12/15/2012,Não Especificada,47,"16002,29","0,09",Aéreo Normal,"4604,79","363,25","19,99",Ricardo Emerson,Anápolis,48146,Goiás,Centro-Oeste,Brasil,Corporativo,Material de Escritório,Eletrodomésticos,Hoover WindTunnel™ Plus Canister Vacuum,Small Box,"0,57",12/15/2012
6924,49381,12/13/2012,Não Especificada,21,"1537,5","0,04",Aéreo Normal,"-531,92","70,98",35,Stuart Van,Ribeirão Pires,11967,São Paulo,Sudeste,Brasil,Consumidor,Material de Escritório,Armazenamento e Organização,Sensible Storage WireTech Storage Systems,Large Box,"0,8",12/14/2012
6978,49889,12/12/2012,Crítica,47,"533,47","0,09",Aéreo Normal,"-50,21","11,5","7,19",Philip Fox,Rio de Janeiro,26301,Rio de Janeiro,Sudeste,Brasil,Escritório em Casa,Material de Escritório,Capas e Acessórios,Ibico Covers for Plastic or Wire Binding Elements,Small Box,"0,4",12/14/2012
6979,49889,12/12/2012,Crítica,21,"61,94","0,09",Aéreo Rápido,"-22,32","2,98","2,03",Philip Fox,Rio de Janeiro,26301,Rio de Janeiro,Sudeste,Brasil,Escritório em Casa,Material de Escritório,Canetas e materiais de arte,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Wrap Bag,"0,57",12/14/2012
8366,59781,12/12/2012,Não Especificada,18,"1837,94","0,02",Aéreo Normal,"1249,43","99,23","8,99",Julia Barnett,Taubaté,08302,São Paulo,Sudeste,Brasil,Corporativo,Mobiliário,Mobiliário de Escritório,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Small Pack,"0,35",12/14/2012
2945,21344,12/9/2012,Baixa,29,"587,2","0,08",Aéreo Normal,"134,25","20,89","1,99",Bobby Trafton,São Paulo,07109,São Paulo,Sudeste,Brasil,Corporativo,Tecnologia,Periféricos,"IBM 80 Minute CD-R Spindle, 50/Pack",Small Pack,"0,48",12/13/2012
3021,21729,12/6/2012,Baixa,14,"1082,66","0,08",Aéreo Normal,"-256,93","79,52","48,2",Xylona Price,São Paulo,44512,São Paulo,Sudeste,Brasil,Corporativo,Mobiliário,Mobiliário de Escritório,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,Medium Box,"0,74",12/13/2012
3441,24576,12/11/2012,Não Especificada,29,"531,063","0,03",Aéreo Normal,"24,56","20,99","4,81",Luke Weiss,Cuiabá,51503,Mato Grosso,Centro-Oeste,Brasil,Corporativo,Tecnologia,Telefones e Comunicação,1726 Digital Answering Machine,Medium Box,"0,58",12/13/2012
3442,24576,12/11/2012,Não Especificada,10,"152,84","0,05",Aéreo Normal,"38,02","14,58","7,4",Luke Weiss,Cuiabá,52803,Mato Grosso,Centro-Oeste,Brasil,Corporativo,Mobiliário,Mobiliário de Escritório,DAX Clear Channel Poster Frame,Small Box,"0,48",12/13/2012
6466,46048,12/11/2012,Média,10,"135,77","0,05",Aéreo Rápido,"0,53","12,98","3,14",Laurel Workman,Salvador,59715,Bahia,Nordeste,Brasil,Escritório em Casa,Material de Escritório,"Tesouras, réguas e aparadores","Acme® 8"" Straight Scissors",Small Pack,"0,6",12/13/2012
6467,46048,12/11/2012,Média,35,"447,25","0,08",Aéreo Normal,"-15,92","13,48","4,51",Laurel Workman,Salvador,59715,Bahia,Nordeste,Brasil,Escritório em Casa,Material de Escritório,Armazenamento e Organização,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,"0,59",12/13/2012
8367,59781,12/12/2012,Não Especificada,24,"4408,27","0,04",Transporte Rodoviário,"329,28","180,98",30,Julia Barnett,Belo Horizonte,01945,Minas Gerais,Sudeste,Brasil,Corporativo,Mobiliário,Cadeiras,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,Jumbo Drum,"0,69",12/13/2012
8368,59781,12/12/2012,Não Especificada,28,"24391,16","0,04",Transporte Rodoviário,"-9611,91","880,98","44,55",Julia Barnett,Taubaté,07101,São Paulo,Sudeste,Brasil,Corporativo,Mobiliário,Estantes,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Jumbo Box,"0,62",12/13/2012
8369,59781,12/12/2012,Não Especificada,43,"262,13",0,Aéreo Rápido,"-60,91","5,58","5,3",Julia Barnett,Recife,92105,Pernambuco,Nordeste,Brasil,Corporativo,Material de Escritório,Envelopes,Staples Brown Kraft Recycled Clasp Envelopes,Small Box,"0,35",12/13/2012
8370,59781,12/12/2012,Não Especificada,24,"173,12","0,1",Aéreo Normal,"-166,41","7,28","11,15",Julia Barnett,Recife,92105,Pernambuco,Nordeste,Brasil,Corporativo,Material de Escritório,Papel,"Array® Parchment Paper, Assorted Colors",Small Box,"0,37",12/13/2012
